X,sp,pt,treatment,area,isolation,k,lnK
LHD2,BL,F,N,4.648950834,1.901160108,0.434683992,0.156756253
LHD2,CM,F,G,4.648950834,1.901160108,0.227879189,0.089155639
LHD2,CM,F,N,4.648950834,1.901160108,0.345323102,0.1288266
LHD2,FX,F,G,4.648950834,1.901160108,0.665544404,0.221556216
LHD2,FX,F,N,4.648950834,1.901160108,0.731858734,0.238512464
LHD2,MH,F,G,4.648950834,1.901160108,0.426423725,0.154248554
LHD2,MH,F,N,4.648950834,1.901160108,0.406090121,0.148013157
LHD2,QG,F,G,4.648950834,1.901160108,0.203159219,0.080323103
LHD2,QG,F,N,4.648950834,1.901160108,0.243376469,0.094602644
LHD2,XZ,F,G,4.648950834,1.901160108,0.313609278,0.118466207
LHD2,XZ,F,N,4.648950834,1.901160108,0.450624661,0.161555056
LJS1,BL,F,G,-0.95566938,3.417977775,0.258939756,0.230269903
LJS1,BL,F,N,-0.95566938,3.417977775,0.333135948,0.124874439
LJS1,CM,F,G,-0.95566938,3.417977775,0.277841049,0.106476835
LJS1,CM,F,N,-0.95566938,3.417977775,0.51877064,0.181492193
LJS1,FX,F,G,-0.95566938,3.417977775,0.595168786,0.202806643
LJS1,FX,F,N,-0.95566938,3.417977775,0.621456209,0.209905224
LJS1,MH,F,G,-0.95566938,3.417977775,0.319514923,0.120414306
LJS1,MH,F,N,-0.95566938,3.417977775,0.375605139,0.13849379
LJS1,QG,F,G,-0.95566938,3.417977775,0.168018543,0.067449738
LJS1,QG,F,N,-0.95566938,3.417977775,0.2903419,0.1107048
LJS1,XZ,F,G,-0.95566938,3.417977775,0.353749009,0.131538152
LJS1,XZ,F,N,-0.95566938,3.417977775,0.523442431,0.182826047
MYD1,BL,F,G,1.057992735,2.326882976,0.296728202,0.259844324
MYD1,BL,F,N,1.057992735,2.326882976,0.392174039,0.143693531
MYD1,CM,F,G,1.057992735,2.326882976,0.258409249,0.099821902
MYD1,CM,F,N,1.057992735,2.326882976,0.836577524,0.264009265
MYD1,FX,F,G,1.057992735,2.326882976,0.684989899,0.226597302
MYD1,FX,F,N,1.057992735,2.326882976,1.729538829,0.436089277
MYD1,MH,F,G,1.057992735,2.326882976,0.221300032,0.086822368
MYD1,MH,F,N,1.057992735,2.326882976,0.492745972,0.173985908
MYD1,QG,F,G,1.057992735,2.326882976,0.20480155,0.080915518
MYD1,QG,F,N,1.057992735,2.326882976,0.391573616,0.143506186
MYD1,XZ,F,G,1.057992735,2.326882976,0.27588233,0.105810623
MYD1,XZ,F,N,1.057992735,2.326882976,0.44775157,0.160694045
MYD2,BL,G,G,1.057992735,2.326882976,0.356628147,0.132460823
MYD2,BL,G,N,1.057992735,2.326882976,0.605810589,0.205694317
MYD2,CM,G,G,1.057992735,2.326882976,0.242591919,0.094328525
MYD2,CM,G,N,1.057992735,2.326882976,0.303899071,0.115243976
MYD2,FX,G,G,1.057992735,2.326882976,0.585055189,0.200044388
MYD2,FX,G,N,1.057992735,2.326882976,0.748501876,0.242666103
MYD2,MH,G,G,1.057992735,2.326882976,0.462173283,0.164998844
MYD2,MH,G,N,1.057992735,2.326882976,0.364707091,0.135039448
MYD2,QG,G,G,1.057992735,2.326882976,0.195237784,0.077454314
MYD2,QG,G,N,1.057992735,2.326882976,0.21873004,0.085907516
MYD2,XZ,G,G,1.057992735,2.326882976,0.647304798,0.216773963
MYD2,XZ,G,N,1.057992735,2.326882976,0.361029127,0.13386742
MZH1,BL,F,G,0.973413301,4.120456745,0.351646555,0.30132352
MZH1,BL,F,N,0.973413301,4.120456745,0.464473719,0.165681582
MZH1,CM,F,G,0.973413301,4.120456745,0.378313392,0.139347976
MZH1,CM,F,N,0.973413301,4.120456745,0.496295378,0.175017334
MZH1,FX,F,G,0.973413301,4.120456745,0.641734707,0.215302979
MZH1,FX,F,N,0.973413301,4.120456745,1.049721351,0.311694825
MZH1,MH,F,G,0.973413301,4.120456745,0.355959683,0.132246777
MZH1,MH,F,N,0.973413301,4.120456745,0.50405102,0.177262569
MZH1,QG,F,G,0.973413301,4.120456745,0.154274447,0.062309081
MZH1,QG,F,N,0.973413301,4.120456745,0.339568664,0.12696498
MZH1,XZ,F,G,0.973413301,4.120456745,0.392174039,0.143693531
MZH1,XZ,F,N,0.973413301,4.120456745,0.557058708,0.192304988
MZH2,BL,G,G,0.973413301,4.120456745,0.272842816,0.104774776
MZH2,BL,G,N,0.973413301,4.120456745,0.473109302,0.168234972
MZH2,CM,G,G,0.973413301,4.120456745,0.234533155,0.091502758
MZH2,CM,G,N,0.973413301,4.120456745,0.537534585,0.186824893
MZH2,FX,G,G,0.973413301,4.120456745,0.636150598,0.213823275
MZH2,FX,G,N,0.973413301,4.120456745,1.35687814,0.372337128
MZH2,MH,G,G,0.973413301,4.120456745,0.272740004,0.104739695
MZH2,MH,G,N,0.973413301,4.120456745,0.397521996,0.145358652
MZH2,QG,G,G,0.973413301,4.120456745,0.15324541,0.061921735
MZH2,QG,G,N,0.973413301,4.120456745,0.212160566,0.083560151
MZH2,XZ,G,G,0.973413301,4.120456745,0.30016257,0.113997659
MZH2,XZ,G,N,0.973413301,4.120456745,0.469227998,0.167089196
PTS1,BL,F,G,2.484226779,3.18354701,0.278436699,0.245638003
PTS1,BL,F,N,2.484226779,3.18354701,0.40389705,0.147335261
PTS1,CM,F,G,2.484226779,3.18354701,0.234034584,0.091327331
PTS1,CM,F,N,2.484226779,3.18354701,0.588037638,0.200860791
PTS1,FX,F,G,2.484226779,3.18354701,0.790882337,0.253067053
PTS1,FX,F,N,2.484226779,3.18354701,1.09545292,0.321277908
PTS1,MH,F,G,2.484226779,3.18354701,0.263253747,0.101490595
PTS1,MH,F,N,2.484226779,3.18354701,0.174126271,0.069714805
PTS1,QG,F,G,2.484226779,3.18354701,0.212084812,0.083533009
PTS1,QG,F,N,2.484226779,3.18354701,0.200914576,0.079512116
PTS1,XZ,F,G,2.484226779,3.18354701,0.356029768,0.132269223
PTS1,XZ,F,N,2.484226779,3.18354701,0.598781444,0.203789099
PTS2,BL,F,G,2.484226779,3.18354701,0.306494014,0.267347224
PTS2,BL,F,N,2.484226779,3.18354701,0.423353738,0.153312846
PTS2,CM,F,G,2.484226779,3.18354701,0.37733508,0.139039609
PTS2,CM,F,N,2.484226779,3.18354701,0.511538789,0.179419296
PTS2,FX,F,G,2.484226779,3.18354701,0.786295336,0.251953264
PTS2,FX,F,N,2.484226779,3.18354701,0.599920775,0.204098478
PTS2,MH,F,G,2.484226779,3.18354701,0.361029127,0.13386742
